Név,Dátum,Utolsó ár,Mennyiség
OPIMUS,2017.05.02.,53.0,658616.0
OPIMUS,2017.05.03.,50.0,737649.0
OPIMUS,2017.05.04.,49.0,205986.0
OPIMUS,2017.05.05.,49.0,212055.0
OPIMUS,2017.05.08.,49.0,79431.0
OPIMUS,2017.05.09.,50.0,148489.0
OPIMUS,2017.05.10.,49.0,123430.0
OPIMUS,2017.05.11.,48.0,97054.0
OPIMUS,2017.05.12.,47.0,261379.0
OPIMUS,2017.05.15.,47.0,295042.0
OPIMUS,2017.05.16.,47.0,300100.0
OPIMUS,2017.05.17.,46.0,940361.0
OPIMUS,2017.05.18.,50.0,941924.0
OPIMUS,2017.05.19.,47.0,3303039.0
OPIMUS,2017.05.22.,48.0,1229726.0
OPIMUS,2017.05.23.,48.0,1475908.0
OPIMUS,2017.05.24.,47.0,890819.0
OPIMUS,2017.05.25.,47.0,539752.0
OPIMUS,2017.05.26.,49.0,506149.0
OPIMUS,2017.05.29.,48.0,323274.0
OPIMUS,2017.05.30.,52.0,1219316.0
OPIMUS,2017.05.31.,58.0,4689311.0
OPIMUS,2017.06.01.,66.0,4435726.0
OPIMUS,2017.06.02.,75.0,5015278.0
